Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
Stephen Peak,north america,united states,scramble,6418,1956,47.870038,-123.595399,seattle-tacoma,1961
Stetind,europe,norway,technical climb,4567,1392,68.166725,16.591144,evenes,1910
Stevens Peak,north america,united states,scramble,6510,1984,46.746095,-121.676888,seattle-tacoma,
Stewart Peak,north america,united states,walk up,13983,4262,38.0233,-106.923,colorado springs,1873
Stiletto Peak,north america,united states,scramble,7660,2335,48.483758,-120.666414,seattle-tacoma,
Stok Kangri,asia,india,basic snow/ice climb,20082,6121,33.986111,77.4425,nan,
Stone Mountain,north america,united states,walk up,2600,792,,,asheville/roanoke,
"Stone, Mount",north america,united states,scramble,6612,2015,47.606308,-123.266473,seattle-tacoma,
Store Austadbotntind,europe,norway,scramble,7228,2203,61.441824,7.80098,flesland - bergen,1883
Store Knutholstind,europe,norway,walk up,7677,2340,60.4167,8.53333,gardermoen,
Store Skagastolstind,europe,norway,technical climb,7884,2403,61.4167,7.86667,bergen,1876
Store Smørstabbtind,europe,norway,walk up,7244,2208,61.571664,8.118725,gardermoen,
Store Styggedalstind,europe,norway,basic snow/ice climb,7831,2387,61.464777,7.902639,bergen,1885
Storebjrn,europe,norway,basic snow/ice climb,7290,2222,,,nan,
"Storm King, Mount",north america,united states,scramble,4537,1383,48.0555,-123.74124,seattle-tacoma,
Storm Mountain,north america,canada,scramble,10170,3100,51.2083,-116.004,calgary,1889
Storm Mountain (Kananaskis),north america,canada,scramble,10154,3095,50.5867,-114.94,calgary international airport,
Storm Peak,north america,united states,scramble,13326,4062,40.2656,-105.62,denver int'l airport,1903
Storronden,europe,norway,nan,7014,2138,61.89224,9.860916,oslo international airport gardermoen,
Storsylen,europe,norway,walk up,5781,1762,63.0216,12.1997,"trondheim airport, vaernes",1885
Storžiè,europe,slovenia,walk up,6995,2132,46.35,14.3833,brnik,
Strahlegghorn,europe,switzerland,scramble,11355,3461,46.575265,8.118124,"bern, switzerland",
Strahlhorn,europe,switzerland,basic snow/ice climb,13747,4190,46.013327,7.901831,geneva,1854
Strawberry Mountain,north america,united states,scramble,9038,2755,44.303704,-118.709335,"boise, id",
Street mountain,north america,united states,walk up,4167,1270,44.180419,-74.044333,plattsburg international,
"Streicher, Zenokopf",europe,germany,walk up,5228,1593,47.658018,12.491491,salzburg,
Strmenica,europe,serbia and montenegro,walk up,6962,2122,,,podgorica,
Stromboli,europe,italy,walk up,3038,926,38.7833,15.2,"catania, palermo",
Strudelkopf,europe,italy,nan,7569,2307,,,innsbruck (austria),
Strzelecki,australia/oceania,australia,nan,2480,756,,,nan,
"Stuart, Mount",north america,united states,technical climb,9415,2869,47.475158,-120.902395,"seattle, washington",1873
Stuifen,europe,germany,walk up,2484,757,48.744078,9.818172,stuttgart,
Suatisi,europe,georgia,major mountain expedition,14652,4466,42.6833,44.4167,"tbilisi airport, vladikavkaz airport",
Subenuix,europe,spain,scramble,9675,2949,42.555736,0.978727,barcelona,1880
Sucre,south america,ecuador,scramble,12313,3753,0.364733,-78.1368,quito ecuador,
Sugar Loaf Mountain,south america,brazil,scramble,1296,395,-22.95,-43.15,"rio de janeiro, brazil",
Sugarloaf Peak,north america,united states,scramble,6924,2110,34.2417,-117.634,ontario international,
Suilven,europe,united kingdom,walk up,2399,731,58.0833,-5.16667,inverness,
Suitilla,asia,india,major mountain expedition,20909,6373,30.331408,80.380772,delhi,
Sulphur Mountain,north america,canada,walk up,7448,2270,51.1,-115.533,calgary international,
Sulzenstein,europe,germany,scramble,5418,1693,47.34,12.46,salzburg,1908
Sulzfluh,europe,austria,walk up,9245,2818,47.0141,9.8308,"zurich, switzerland",
Sumaco,south america,ecuador,walk up,12795,3900,-0.540974,-77.62755,quito,
Sundial Peak,north america,united states,technical climb,10320,3146,40.5983,-111.685,nan,
"Sunflower, Mount",north america,united states,walk up,4039,1231,39.021982,-102.037141,nan,
Sunlight Peak,north america,united states,scramble,14059,4285,37.6272,-107.595,durango,
Sunny Girl,north america,united states,walk up,5994,1827,48.411428,-121.157956,seattle,
Sunrise Peak,north america,united states,basic snow/ice climb,11275,3437,33.9556,-109.558,salt lake city,
Sunset Peak,north america,united states,walk up,10678,3255,,,nan,
Sunshine Mountain,north america,united states,scramble,12930,3941,37.858326,-107.934201,telluride,
Sunshine Peak,north america,united states,walk up,14001,4268,37.9228,-107.425,gunnison or durango,1874
Sunwapta Peak,north america,canada,walk up,10876,3315,52.349497,-117.275276,calgary,
"Superbus, Mount",australia/oceania,australia,walk up,4511,1375,-28.218367,152.460666,brisbane,
Superior Peak,north america,united states,scramble,11040,3365,40.591656,-111.671055,salt lake intn'l,
Suphan Dagi,asia,turkey,walk up,13280,4048,38.9333,42.8333,"van, turkey",
Sutay Uul,asia,mongolia,basic snow/ice climb,13418,4090,46.61768,93.594063,nan,
Sv. Jure,europe,croatia,walk up,5781,1762,43.341847,17.053957,nan,
Svanatindan,europe,norway,walk up,7247,2209,,,oslo,
Sventi Ilija,europe,croatia,walk up,3152,961,42.9962,17.15863,dubrovnik,
Sveti Jure,europe,croatia,walk up,5781,1762,43.3495,24.43,split,
Svoni,europe,greece,walk up,6699,2042,39.15,21.7,athens,
Swargarohini,asia,india,major mountain expedition,20512,6252,31.1,78.5,"jolly grant, dehradun",1992
Sweat Spire,north america,united states,technical climb,7580,2310,47.833218,-123.236359,seattle,1962
Swinica,europe,poland,scramble,7549,2301,49.219444,20.009167,nan,
Swirl How,europe,united kingdom,walk up,2631,802,54.395151,-3.121662,"manchester, liverpool",
Säntis,europe,switzerland,walk up,7,2502,47.249167,9.343333,zürich,1922
Säuling,europe,austria,walk up,6716,2047,47.535188,10.755064,nan,
T'Kishla Peak,north america,united states,scramble,5230,1594,61.143567,-149.555511,anchorage,
Taapaca,south america,chile,basic snow/ice climb,19226,5860,-18.181409,-69.589462,arica,
Tabeguache Peak,north america,united states,walk up,14155,4314,38.6253,-106.25,colorado springs or denver,
Table Mountain,north america,united states,walk up,5742,1750,48.847745,-121.71371,seattle-tacoma,
Table Rock,north america,united states,walk up,3157,962,35.05143,-82.70452,greenville/spartanburg international,
Tacana,north america,mexico,walk up,13425,4092,,,"la aurora, guatemala city",
Tafelberg,africa,south africa,scramble,6460,1969,-32.4167,19.2,cape town,1896
Taga,europe,spain,walk up,6693,2040,42.281754,2.209454,barcelona,
"Tagpochau, Mount (Saipan)",australia/oceania,,walk up,1554,474,,,jindabyne / thredbo,
Tahat,africa,algeria,technical climb,9573,2918,23.3,5.53333,"tamanghasset, algeria",1931
Tahquitz Peak,north america,united states,walk up,8828,2691,33.7553,-116.6762,nan,
Tahtali Dagi,asia,turkey,nan,7759,2365,,,antalya,
Tahtlum Peak,north america,united states,scramble,6567,2002,46.86437,-121.47747,seattle-tacoma,
Taillon,europe,france,walk up,10315,3144,42.694675,-0.052872,"toulouse (france), zaragoza (spain)",
Tajumulco,north america,guatemala,walk up,13845,4220,15.043384,-91.903589,"la aurora, guatemala city",
Takhte Soleyman,asia,iran,walk up,4800,1463,36.604297,47.234859,tehran,
Taku D Peak,north america,united states,basic snow/ice climb,5810,1771,58.707971,-134.291069,juneau,
Tal y fan,europe,united kingdom,walk up,1905,581,53.235278,-3.905833,manchester,
"Talamitan, Mt.",asia,philippines,walk up,2310,704,14.1078,120.76,manila international airport,
"Talinis, Mount",asia,philippines,scramble,6243,1903,9.242761,123.17625,dumaguete airport,
"Tallac, Mount",north america,,basic snow/ice climb,10499,3200,38.908133,-120.099106,"reno, nv",
"Tamalpais, Mount",north america,united states,walk up,2574,784,37.928662,-122.577682,"san francisco, california",
Tamanos Mountain,north america,united states,scramble,6790,2070,46.871942,-121.597443,seattle-tacoma,
Tamarack Mountain,north america,united states,scramble,7200,2195,,,boise international airport,2003
Tambuyukon,asia,malaysia,scramble,8461,2579,6.21667,116.65,"kota kinabalu, sabah",
Tamer,europe,italy,scramble,8356,2547,46.5167,12.1833,venezia marco polo,
"Tantalus, Mount",north america,canada,scramble,8540,2603,49.818111,-123.329389,vancouver,1911
Tar Heel,north america,united states,walk up,7160,2182,48.643288,-120.91115,seattle,1972
Tarak Ridge,asia,philippines,scramble,4226,1288,14.5058,120.492,manila international airport & subic bay international airport,
Tarcu,europe,romania,walk up,7185,2190,,,nan,
Tarewera,australia/oceania,new zealand,walk up,3645,1111,,,auckland,
Tarija,south america,bolivia,basic snow/ice climb,17241,5255,,,la paz,
Tarita,europe,romania,walk up,7936,2419,,,sibiu,
Tarnica,europe,poland,walk up,4416,1346,49.074646,22.726254,rzeszow,
Taschhorn,europe,switzerland,nan,14731,4490,46.083144,7.857199,"geneva, milano",1876
"Tasman, Mount",australia/oceania,new zealand,basic snow/ice climb,11476,3498,-43.5667,170.15,"christchurch, south island",1895
"Tate, Mount",australia/oceania,australia,nan,6785,2068,-36.4167,148.25,melbourne,
Tateyama,asia,japan,walk up,9892,3015,36.5759,137.619,"narita international airport, kansai international airport",
Tatoosh Peak,north america,united states,walk up,6310,1923,46.706178,-121.66463,seattle-tacoma,
Tatos,asia,turkey,nan,11919,3633,40,32,trabzon,
Tattakuti,asia,india,walk up,15555,4741,33.89333,74.48861,srinagar,
Taum Sauk,north america,united states,walk up,1779,542,37.571301,-90.729144,st. louis,1901
Tavan Bogd,asia,mongolia,walk up,13392,4082,49.145335,87.816163,"ölgyi, mongolia",
Tawetse,asia,nepal,major mountain expedition,21463,6542,27.896667,86.7775,kathmandu,
Taylor Peak,north america,united states,walk up,13153,4009,40.2744,-105.68,dia,
"Taylor, Mount",north america,united states,scramble,11301,3445,35.238694,-107.608528,"albuquerque, new mexico",
Tebulo,europe,georgia,major mountain expedition,14747,4495,42.6833,45.3167,"tbilisi airport, vladikavkaz airport",
"Tecumseh, Mt",north america,united states,walk up,4003,1220,43.9672,-71.5586,manchester,
Teewinot,north america,united states,technical climb,12325,3757,43.747169,-110.779987,"jackson, wyoming",1929
Teghie Lisce,europe,france,technical climb,3363,1025,41.826716,9.255528,aiaccio,1975
Teide,europe,spain,walk up,12198,3718,28.272335,-16.64257,tenerife south (reina sofia),
Telepon,north america,mexico,walk up,13389,4081,19.1833,-98.65,mexico city,
Telescope Peak,north america,united states,walk up,11049,3368,36.1667,-117.083,las vegas,
Telica,north america,nicaragua,walk up,3481,1061,12.6,-86.87,nan,
Telkamar,asia,iran,walk up,9186,2800,35.731743,52.025843,"mehrabad,tehran",
Temple,north america,united states,nan,3407,1038,47.70309,-121.415062,seattle,
Temple Crag,north america,united states,scramble,12999,3962,37.1097,-118.492,l.a. international,1930
"Temple, Mount",north america,canada,scramble,11626,3544,51.350986,-116.206083,"calgary, alberta",1894
Tenaya Peak,north america,united states,scramble,10280,3133,37.828701,-119.443402,"fresno, ca",
"Teneriffe, Mount",north america,united states,scramble,4788,1459,47.5087,-121.696,seattle-tacoma,
Tengkongma,asia,nepal,basic snow/ice climb,20341,6200,,,kathmandu,
"Tennent, Mt",australia/oceania,australia,walk up,4511,1375,-35.549808,149.04436,canberra,
Tepuy Roraima,south america,venezuela,scramble,9219,2810,5.164506,-60.787439,"ciuidad bolívar, venezuela",1884
Tequila Volcano,north america,mexico,walk up,9580,2920,20.78821,-103.84243,guadalajara,
"Terror, Mount",north america,united states,technical climb,8151,2484,48.774294,-121.299573,seattle-tacoma,1932
Terskol,europe,russia,scramble,12795,3900,,,mineralnie vodi,
Terza Grande,europe,italy,scramble,8484,2586,,,venice (marco polo),
Testa Nera,europe,italy,walk up,9249,2819,45.66794,7.336073,torino,
Teta de Niquitao,south america,venezuela,scramble,13143,4006,9.118029,-70.493131,valera,1910
Tete Blanche,europe,france,basic snow/ice climb,11250,3429,45.987417,7.574861,grenoble,
Tete de la Fréma,europe,france,walk up,10338,3151,44.537253,6.869853,nice,2000
Tetnuldi,europe,georgia,major mountain expedition,15922,4853,44.1,42.15,"tbilisi airport, kiev airport",1930
Texelspitze (Cima Tessa),europe,italy,scramble,10886,3318,46.719711,10.971694,bolzano/bozen,1871
Thabana Ntlenyana,africa,lesotho,walk up,11424,3482,-29.466667,29.266667,maseru,
Thalay Sagar,asia,india,major mountain expedition,22651,6904,30.859861,78.995849,delhi,1979
Thamserku,asia,nepal,major mountain expedition,21729,6623,27.8617,86.8639,katmandu,
Thapa Peak,asia,nepal,basic snow/ice climb,19685,6000,28.25,85.5833,kathmandu / jomson,
Tharepati,asia,nepal,walk up,12400,3780,28.064558,85.519209,kathmandu,
Tharpu Chuli,asia,nepal,basic snow/ice climb,18044,5500,,,pokhara,
The Brothers,north america,united states,scramble,6866,2092,47.653147,-123.140998,seattle-tacoma,1912
The Cairnwell,europe,united kingdom,walk up,3061,933,56.8795,-3.42089,aberdeen or edinburgh,
The Castle,north america,united states,technical climb,6387,1947,38.2986,-111.2639,salt lake city,
The Cheviot,europe,united kingdom,walk up,2674,815,55.478333,-2.145556,newcastle,
The Chimneys,north america,united states,nan,3557,1084,35.8772,-81.8886,asheville,
The Cobbler,europe,united kingdom,scramble,2900,884,56.2141,-4.80875,glasgow,
The Convent,north america,united states,technical climb,5955,1815,38.683407,-109.385312,salt lake city,
The Fin,north america,united states,technical climb,7360,2243,48.498115,-120.604381,seattle-tacoma,1942
The Fist,north america,canada,scramble,8629,2630,50.815,-115.3717,calgary international airport,1973
The Husband,north america,united states,basic snow/ice climb,7524,2293,44.127205,-121.8565,eugene airport,
The Lieutenants,north america,canada,technical climb,10735,3272,50.4167,-116.593,cranbrook,1960
The Lions (East Peak),north america,canada,scramble,5246,1599,49.45,-123.167,vancouver,1903
The Magistrate,australia/oceania,australia,nan,4928,1502,-29.376913,152.009656,brisbane,
The Merrick,europe,united kingdom,walk up,2766,843,55.1393,-4.4684,prestwick ayrshire,1992
The Needles,north america,united states,technical climb,8170,2490,48.5989,-120.649,seattle,1944
The Old Man Of Coniston,europe,united kingdom,walk up,2633,803,54.321,3.121,manchester. liverpool,
The Owl,north america,united states,walk up,3736,1139,45.9,-68.95,bangor international,
The Palisades,north america,united states,scramble,7070,2155,46.9478,-121.604487,seattle-tacoma,
The Pinnacles,australia/oceania,new zealand,scramble,2490,759,,,auckland,
The Priest,north america,united states,walk up,4063,1238,37.8197,-79.0628,roanoke/ washington d.c.,
The Pulpit,north america,united states,walk up,4523,1379,47.521403,-121.551833,seattle,
The Pyramid,australia/oceania,australia,walk up,3835,1169,-35.477288,148.928488,canberra,
The Rectory,north america,united states,technical climb,6565,2001,38.65621,-109.367373,salt lake city,
The Roaches,europe,united kingdom,scramble,1657,505,53.171389,-2,manchester,
The Round Mountain (New South Wales),australia/oceania,australia,walk up,5203,1586,-30.437947,152.239942,coffs harbour,
The Summit,north america,united states,walk up,2800,853,,,ontario,2001
The Titan,north america,united states,technical climb,6260,1908,38.717243,-109.299614,salt lake international airport,1962
The Tooth,north america,united states,technical climb,5604,1708,47.445823,-121.454759,seattle,1928
The Tower,north america,canada,scramble,10226,3117,50.8567,-115.29,calgary international airport,
The Triad,north america,united states,scramble,7550,2301,48.51976,-121.162934,seattle-tacoma,1949
The Triplets,north america,united states,technical climb,7240,2207,48.461539,-121.073112,seattle-tacoma,1945
The Watchman,north america,united states,scramble,6545,1995,37.18469,-112.979568,las vegas or salt lake city,
The brack,europe,united kingdom,basic snow/ice climb,2582,787,,,glasgow airport,
"Thielsen, Mount",north america,united states,walk up,9178,2797,43.1531,-122.066,medford,
Thipala (cerro),south america,bolivia,walk up,16552,5045,-16.232198,-68.209949,el alto (bolivia),
Thompson Peak,north america,united states,walk up,9002,2744,41,-123.033,"redding, california",
"Thompson, Mount",north america,canada,scramble,10118,3084,51.663611,-116.523056,calgary,1898
Thor Mountain,north america,canada,technical climb,10320,3146,,,kelowna,1992
Thornton Peak,australia/oceania,australia,scramble,4508,1374,-16.164291,145.374119,cairns,
Three Fingered Jack,north america,united states,technical climb,7841,2390,44.479054,-121.8431,portland,1923
Three Fingers,north america,united states,basic snow/ice climb,6854,2089,48.169949,-121.687789,seattle-tacoma,1931
Three Gossips,north america,united states,technical climb,4800,1463,38.635884,-109.603678,salt lake city,1970
Three Sisters,north america,united states,basic snow/ice climb,10358,3157,44.1358,-121.772,"portland, oregon",1931
Three Way Peak,north america,united states,technical climb,6796,2071,46.908958,-121.49638,seattle-tacoma,
Three Wives,north america,united states,scramble,7450,2271,48.436193,-120.730098,seattle-tacoma,1980
Throop Peak,north america,united states,walk up,9138,2785,34.350558,-117.79923,los angeles,
Thunderbolt Peak,north america,united states,technical climb,14000,4267,37.0981,-118.517,"oakland, california,  reno, nevada",1931
Tiana,asia,china,basic snow/ice climb,23786,7250,,,lhasa,
Tiatordos,europe,spain,walk up,6401,1951,43.19116,-5.106583,ranon (asturies),
Tibidabo,europe,spain,nan,2234,681,41.422327,2.120533,barcelona,
Tibrogargan,australia/oceania,australia,scramble,1194,364,,,brisbane,
Tiehacker Mountain,north america,united states,scramble,3972,1211,60.196,-149.247,anchorage alaska 120 miles,
Tiger Mountain,north america,united states,walk up,3004,916,47.488526,-121.947045,seattle-tacoma,
Timesguida,africa,morocco,scramble,13415,4089,,,"agadir, marrakesch",
Timms Hill,north america,united states,walk up,1952,595,45.4511,-90.1951,stevens point,
"Timpanogos, Mount",north america,united states,walk up,11749,3581,40.4,-111.633,salt lake city,
"Timun, Piz",europe,italy,scramble,10528,3209,46.466944,9.409444,"bergamo, milan,zurich",
Tingtingon Daku Peak,asia,philippines,scramble,3888,1185,10.742988,123.220046,new bacolod-silay airport,
Tingtingon Diotay Peak,asia,philippines,scramble,4035,1230,10.741807,123.229659,new bacolod-silay airport,
"Tinniswood, Mount",north america,canada,basic snow/ice climb,8800,2682,50.3,-123.833,vancouver,
Tinto,europe,united kingdom,walk up,2320,707,55.591944,-3.662778,glasgow,
Tioga Peak,north america,united states,walk up,11526,3513,37.9494,-119.246,mammoth,1939
Tirich Mir,asia,pakistan,major mountain expedition,25282,7706,36.25,71.8333,"peshawar, pakistan",1950
Titov vrv,europe,macedonia,walk up,9012,2747,,,skopje,
Tjønnholstind,europe,norway,scramble,7648,2331,61.444142,8.645315,oslo gardermoen,
Tlalocatepetl,north america,mexico,walk up,13615,4151,19.412781,-98.71229,mexico city,
Tocllaraju,south america,peru,technical climb,19790,6032,-9.347222,-77.396944,lima,1939
Tocorpurri,south america,bolivia,scramble,22162,6755,,,la paz,
Todorini Kukli,europe,bulgaria,walk up,5856,1785,43.138573,23.196945,sofia,
Tofana Di Rozes,europe,italy,scramble,10236,3120,,,milano malpensa,1998
Tok,europe,czech republic,walk up,2838,865,,,praha,
Tokosha Mountains,north america,united states,technical climb,6148,1874,62.7167,-150.6309,anchorage,1975
Tolhuaca,south america,chile,basic snow/ice climb,9206,2806,-38.2833,-71.8,maquehue (temuco),
Toliman,north america,guatemala,walk up,10361,3158,,,"la aurora, guatemala city",
"Toll, Mount",north america,united states,scramble,12978,3956,40.0883,-105.633,denver international,
Tolmie Peak,north america,united states,walk up,5939,1810,46.958025,-121.877389,seattle-tacoma,
Tolosa,south america,argentina,scramble,17821,5432,-32.769657,-70.031583,mendoza city,
Tom na Gruagaich,europe,united kingdom,walk up,3025,922,57.5892,-5.57905,nan,
"Tom, Mount",north america,united states,basic snow/ice climb,7076,2157,47.793143,-123.758246,seattle-tacoma,1914
Tomastepeque,north america,guatemala,scramble,7054,2150,14.63333,-90.35,guatemala,
Tomyhoi Peak,north america,united states,scramble,7435,2266,48.974865,-121.710019,seattle-tacoma,1927
"Tongariro, Mount",australia/oceania,new zealand,walk up,6457,1968,,,auckland/wellington,
Tooth Of Time,north america,united states,walk up,9003,2744,36.448076,-105.00766,nan,
Topo La Bandera,south america,venezuela,walk up,4685,1428,9.989899,-66.358237,"simón bolívar, maiquetía",
Topo Yagrumal,south america,venezuela,walk up,5577,1700,9.959974,-68.616056,valencia,
Toraggio,europe,italy,scramble,2000,610,,,nice - genoa,
"Torbert, Mount",north america,united states,major mountain expedition,11413,3478,61.4086,-152.412,anchorage international,
Torbina,europe,spain,walk up,4314,1315,43.354788,-4.770145,asturias,
Tore Parda,europe,spain,scramble,7710,2350,43.030056,-5.951709,"asturias, leon",
"Torment, Mount",north america,united states,technical climb,8120,2475,48.512056,-121.077747,seattle-tacoma,1946
Tornello (Pizzo),europe,italy,walk up,8816,2687,46.035705,10.112228,bergamo,
Tornone (Monte),europe,italy,walk up,8451,2576,46.030104,10.113344,bergamo,
Torre,europe,portugal,walk up,6539,1993,40.321813,-7.61301,"porto, portugal",
Torre Central,south america,chile,technical climb,8071,2460,-50.9,-72.95,punta arenas,1963
Torre Del Diavolo,europe,italy,scramble,8602,2622,,,treviso / trieste,1903
Torre Grande,europe,italy,technical climb,7762,2366,,,milano,
Torre Inglese,europe,italy,technical climb,7415,2260,,,nan,1901
Torre Ponton,europe,italy,walk up,10174,3101,45.603845,7.49456,torino,1849
Torre Santa,europe,spain,scramble,2486,758,43.212556,-4.973516,asturias,
Torre Sur,south america,chile,technical climb,8204,2501,-50.9833,-72.9667,punta arenas,
Torre Trieste,europe,italy,technical climb,8064,2458,46.358057,12.0454,"padova, venezia",1910
Torre Venezia,europe,italy,technical climb,7667,2337,46.3611,12.0231,nan,
Torre de los Galayos,europe,spain,technical climb,7270,2216,40.245467,-5.278931,madrid,
Torre del Friero,europe,spain,scramble,8031,2448,43.157741,-4.875867,"asturias, león",
"Torre, Mount",south america,ecuador,walk up,12631,3850,,,quito,
Torrecerredo,europe,spain,scramble,8688,2648,43.196667,-4.852867,oviedo,
Torreneules,europe,spain,walk up,8894,2711,42.418451,2.180185,barcelona,
Torres,europe,spain,nan,6903,2104,43.078201,-5.40802,"asturias, león",
Torreys Peak,north america,united states,walk up,14267,4349,39.6428,-105.821,denver,
Torreón Los Galayos,europe,spain,technical climb,6890,2100,40.241799,-5.283051,madrid,1934
Torrone Di Nav,europe,switzerland,technical climb,9153,2790,,,agno/malpensa,1800
Totenkirchl,europe,austria,technical climb,7185,2190,47.57,12.311944,innsbruck,1881
Toter Mann,europe,germany,walk up,4566,1392,47.630867,12.923098,salzburg,
Toubkal,africa,morocco,scramble,13665,4167,31.0611,-7.91547,"marrakech, morocco",1923
Toubkal Ouest,africa,morocco,walk up,13222,4030,,,marrakech,
Touchal,asia,iran,walk up,13005,3964,35.53,51.25,mehrabad in tehran,
Tour Ronde,europe,italy,technical climb,12460,3798,45.844142,6.907419,milan mxp,
Tour d'Aï,europe,switzerland,scramble,7648,2331,46.372499,7.002017,geneva,
Tower 1,north america,united states,technical climb,13000,3962,,,"salt lake city, jackson hole",1946
Tower Mountain,north america,united states,scramble,8444,2574,48.588474,-120.704169,seattle,
"Townsend, Mount",north america,united states,walk up,6280,1914,47.867509,-123.059492,seattle-tacoma,
"Toyangan, Mt",asia,philippines,walk up,7119,2170,16.569444,120.738056,no info,
Trandal,europe,norway,scramble,3281,1000,,,vigra or hovden,2001
Trapper Mountain,north america,united states,scramble,7530,2295,48.431735,-121.01788,seattle-tacoma,1949
Trapper Peak,north america,united states,scramble,10159,3096,45.8898,-114.298,missoula,
Trappers Peak,north america,united states,walk up,5966,1818,48.688411,-121.322794,seattle-tacoma,
Trask Mountain,north america,united states,walk up,3412,1040,45.371499,-123.456501,portland,
Trattberg,europe,austria,walk up,5763,1757,47.64122,13.273716,salzburg,
Traunstein,europe,austria,walk up,5548,1691,,,linz,
Tray Mountain,north america,united states,walk up,4430,1350,34.8012,-83.6838,atlanta,
Tre Cime Di Lavaredo,europe,italy,scramble,9754,2973,,,treviso,1879
Trem - Suva planina,europe,serbia and montenegro,walk up,5938,1810,43.1049,22.1034,nish,
"Tremblant, Mont",north america,canada,walk up,3002,915,46.116667,-74.6,montreal,
Tres Estados,south america,brazil,nan,8743,2665,-22.4,-44.8,guarulhos (sp),
Tresero,europe,italy,technical climb,11791,3594,,,milano,1865
Trettachspitze,europe,germany,technical climb,8514,2595,47.303709,10.295863,"friedrichshafen, memmingen",1855
Trevenque,europe,spain,walk up,6808,2075,37.07819,-3.48157,granada,
Trifthorn,europe,switzerland,basic snow/ice climb,12231,3728,46.051528,7.678333,nan,
Triglav,europe,slovenia,scramble,9396,2864,46.3833,13.8333,"brnik, slovenia",1778
"Trikora, Puncak",australia/oceania,indonesia,scramble,15518,4730,-4.247641,138.750501,jayapura and wamena,
Tristkopf,europe,austria,walk up,6921,2110,47.532502,13.125572,salzburg,
Trisul,asia,india,major mountain expedition,23360,7120,30.3167,79.7833,"delhi, india",1907
"Triumph, Mount",north america,united states,basic snow/ice climb,7271,2216,48.706624,-121.356096,seattle-tacoma,
Truchas Peak,north america,united states,walk up,13103,3994,35.9625,-105.644,albuquerque international sunport,
Trugberg,europe,switzerland,basic snow/ice climb,12730,3933,46.547528,8.015471,"bern, switzerland",
Trusmadi,asia,malaysia,nan,8669,2642,,,kota kinabalu,
Truuli Peak,north america,united states,major mountain expedition,6612,2015,59.9,-150.417,"homer, alaska",1968
Tryfan,europe,united kingdom,scramble,3002,915,53.1158,-3.99693,birmingham / liverpool,
Tryon Peak,north america,united states,walk up,9970,3039,38.5167,-119.783,reno,
Træstaven,europe,norway,scramble,1102,336,,,stokka,1750
Tsanteleina,europe,france,basic snow/ice climb,11817,3602,45.4667,7.03333,chambéry,
Tschingelhorn,europe,switzerland,basic snow/ice climb,11732,3576,46.478694,7.848194,zurich or geneva,1865
Tschingellochtighorn,europe,switzerland,technical climb,8973,2735,46.445389,7.593083,zurich,1903
Tschirgant,europe,austria,walk up,7776,2370,47.241716,10.796041,nan,
Tsengel Khairkhan Uul,asia,mongolia,scramble,12920,3938,48.64879,89.15755,olgii,
Tsergo Ri,asia,nepal,walk up,16404,5000,,,kathmandu,
Tsetsee Gun Uul,asia,mongolia,walk up,7408,2258,47.700173,106.920061,buyant ukhan international,
Tsjangabang,asia,india,major mountain expedition,22165,6756,,,"delhi, india",1974
Tsubakuro Dake (Mt. Tsubakuro),asia,japan,walk up,9065,2763,36.3996,137.716,"narita international airport, kansai international airport",
Tsurugi Dake,asia,japan,scramble,9835,2998,36.6204,137.62,"narita international airport, kansai international airport",
"Tukwasmera (Ughen, Tukosmeru)",australia/oceania,vanuatu,walk up,3000,914,-19.3434,169.2323,tah- tanna (vli- vanuatu),
Tulove grede,europe,croatia,scramble,3615,1120,44.25897,15.702209,zadar,
Tumalo Mountain,north america,united states,scramble,7779,2371,44.005115,-121.642534,eugene airport,
Tumtum Peak,north america,united states,scramble,4678,1426,46.749285,-121.867371,seattle-tacoma,
Tungurahua,south america,ecuador,major mountain expedition,16479,5023,1.467,-78.442,quito,1873
Tuolpagorni,europe,sweden,scramble,5495,1675,67.8667,18.5167,kiruna,
"Tupper, Mount",north america,canada,technical climb,9239,2816,51.3367,-117.4967,"calgary, alberta",1906
Tupungato,south america,argentina,basic snow/ice climb,21489,6550,-33.3667,-69.7833,"santiago, chile",1897
Turbacz,europe,poland,walk up,4314,1315,49.55,20.1,krakow (balice),
Turner peak,australia/oceania,new zealand,basic snow/ice climb,7671,2338,-43.639802,170.147324,christchurch,
Turon de Néouvielle,europe,france,walk up,9911,3021,42.828646,0.106087,tarbes / lourdes,
Turtle Mountain,north america,canada,scramble,7250,2210,49.575,-114.414,calgary international,
"Tuzo, Mount",north america,canada,scramble,10650,3246,51.301616,-116.228399,calgary,1906
Tverrbotntind Ø-2,europe,norway,walk up,6909,2106,,,oslo lufthavn gardermoen,1890
Tvillingene,europe,norway,nan,3215,980,65.4466,12.0225,"sandnessjøen lufthavn, stokka",
Twin Buttes,north america,united states,scramble,5558,1694,34.832595,-111.7577,flagstaff,
Twin Peaks,north america,united states,scramble,5401,1646,61.4463,-149.152,anchorage,
Twin Sisters,north america,united states,walk up,11428,3483,40.283333,-105.516667,denver,
